processos,proc. usuario,threads usuario,proc. mais antigo,usuario corrente,proc. exec. menos usuario corrente,proc. exec. root
341,126,923,2142,vinicius,0,0
341,126,925,2142,vinicius,0,0
341,125,916,2142,vinicius,0,0
341,125,916,2142,vinicius,0,0
341,125,916,2142,vinicius,0,0
341,125,916,2142,vinicius,0,0
341,125,916,2142,vinicius,0,0
344,128,929,2142,vinicius,0,0
344,128,929,2142,vinicius,0,0
341,125,917,2142,vinicius,0,0
343,127,953,2142,vinicius,0,1
346,127,954,2142,vinicius,0,0
343,127,953,2142,vinicius,0,0
343,127,953,2142,vinicius,0,1
344,128,961,2142,vinicius,0,1
344,128,963,2142,vinicius,0,1
343,127,952,2142,vinicius,0,1
344,128,962,2142,vinicius,1,0
344,128,964,2142,vinicius,0,0
343,127,954,2142,vinicius,0,0
342,126,942,2142,vinicius,0,0
345,129,945,2142,vinicius,0,1
342,126,942,2142,vinicius,1,0
342,126,942,2142,vinicius,0,0
342,126,942,2142,vinicius,0,2
343,127,949,2142,vinicius,0,0
342,126,943,2142,vinicius,1,0
342,126,943,2142,vinicius,0,0
342,126,943,2142,vinicius,0,0
342,126,943,2142,vinicius,1,1
345,129,943,2142,vinicius,1,0
342,126,940,2142,vinicius,0,0
342,126,940,2142,vinicius,0,0
342,126,940,2142,vinicius,1,0
342,126,940,2142,vinicius,0,0
342,126,940,2142,vinicius,0,0
