data,usu. corrente,hostname,mem. disponivel(K),mem. em uso(K),mem. swap(K),mem. swap em uso(K),proc. usuario,mem. usuario,page-faults
20231024,vinicius,vini-cafezinho,20169376,2486528,2097148,0,119,5801468,16851195
20231024,vinicius,vini-cafezinho,20169376,2477540,2097148,0,116,5741400,16956589
20231024,vinicius,vini-cafezinho,20169376,2469480,2097148,0,116,5739872,16982681
20231024,vinicius,vini-cafezinho,20169376,2471756,2097148,0,116,5739344,17000494
20231024,vinicius,vini-cafezinho,20169376,2443564,2097148,0,116,5727864,17011230
20231024,vinicius,vini-cafezinho,20169376,2463084,2097148,0,116,5728968,17029881
20231024,vinicius,vini-cafezinho,20169376,2463192,2097148,0,116,5735676,17042662
20231024,vinicius,vini-cafezinho,20169376,2454236,2097148,0,116,5723644,17058072
20231024,vinicius,vini-cafezinho,20169376,2481904,2097148,0,116,5748824,17086617
20231024,vinicius,vini-cafezinho,20169376,2461384,2097148,0,116,5727868,17097136
20231024,vinicius,vini-cafezinho,20169376,2446940,2097148,0,116,5731088,17110953
20231024,vinicius,vini-cafezinho,20169376,2454312,2097148,0,116,5734260,17121467
20231024,vinicius,vini-cafezinho,20169376,2446568,2097148,0,116,5732120,17131414
20231024,vinicius,vini-cafezinho,20169376,2453948,2097148,0,116,5726556,17142435
20231024,vinicius,vini-cafezinho,20169376,2451156,2097148,0,116,5726124,17157283
20231024,vinicius,vini-cafezinho,20169376,2464128,2097148,0,116,5729232,17168126
