data,usu. corrente,hostname,mem. disponivel(K),mem. em uso(K),mem. swap(K),mem. swap em uso(K),proc. usuario,mem. usuario(K),page-faults
20231025,vinicius,vini-cafezinho,20169380,4239560,2097148,0,147,9143276,18818668
20231025,vinicius,vini-cafezinho,20169380,4238632,2097148,0,147,9126212,18858502
20231025,vinicius,vini-cafezinho,20169380,4259792,2097148,0,148,9185940,18930778
20231025,vinicius,vini-cafezinho,20169380,4239776,2097148,0,148,9174984,18992274
20231025,vinicius,vini-cafezinho,20169380,4236768,2097148,0,147,9124788,19057697
20231025,vinicius,vini-cafezinho,20169380,4210800,2097148,0,146,8988248,19106533
20231025,vinicius,vini-cafezinho,20169380,4219228,2097148,0,146,8998772,19149257
20231025,vinicius,vini-cafezinho,20169380,4224384,2097148,0,146,9014348,19161892
20231025,vinicius,vini-cafezinho,20169380,4248240,2097148,0,146,9021584,19210304
20231025,vinicius,vini-cafezinho,20169380,4222544,2097148,0,146,9002808,19223571
20231025,vinicius,vini-cafezinho,20169380,4220896,2097148,0,146,8993028,19255787
20231025,vinicius,vini-cafezinho,20169380,4162884,2097148,0,145,8827308,19242999
20231025,vinicius,vini-cafezinho,20169380,4169992,2097148,0,145,8827652,19261596
20231025,vinicius,vini-cafezinho,20169380,4159244,2097148,0,145,8822196,19277326
20231025,vinicius,vini-cafezinho,20169380,4191200,2097148,0,146,8978812,19381842
20231025,vinicius,vini-cafezinho,20169380,4185700,2097148,0,146,8970820,19416241
